id	title	description	link	image_link	availability	price	brand	condition	identifier_exists	google_product_category	product_type
28893565	Luvea Body Lotion	Luvea Body Lotion by Epiderme Laboratories Pvt Ltd. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 75ML.	https://www.indianskinstore.com/product/luvea-body-lotion	https://indianskinco.github.io/iss-catalog-images/p/28893565.jpg	in_stock	699.00 INR	Epiderme Laboratories Pvt Ltd	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Body Care
19651859	Lycalamine	Lycalamine by Lyra Laboratories Pvt Ltd. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 100ML.	https://www.indianskinstore.com/product/lycalamine	https://indianskinco.github.io/iss-catalog-images/p/19651859.jpg	in_stock	107.00 INR	Lyra Laboratories Pvt Ltd	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Body Care
28861124	Maxrich Cream	Maxrich Cream by Sun Pharmaceuticals Ltd. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 150GM.	https://www.indianskinstore.com/product/maxrich-cream	https://indianskinco.github.io/iss-catalog-images/p/28861124.jpg	in_stock	552.00 INR	Sun Pharmaceuticals Ltd	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Body Care
28882805	Maxrich-p Cream	Maxrich-p Cream by Sun Pharmaceuticals Ltd. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 150GM.	https://www.indianskinstore.com/product/maxrich-p-cream	https://indianskinco.github.io/iss-catalog-images/p/28882805.jpg	in_stock	525.00 INR	Sun Pharmaceuticals Ltd	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Body Care
18893270	Megaheal Gel 50G 1*50g	Megaheal Gel 50G 1*50g by Aristo Pharmaceuticals Pvt Ltd. Post-Procedure product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 1*50G.	https://www.indianskinstore.com/product/megaheal-gel-50g-1*50g	https://indianskinco.github.io/iss-catalog-images/p/18893270.jpg	in_stock	135.93 INR	Aristo Pharmaceuticals Pvt Ltd	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Post-Procedure
22912058	Melaglow Prime Lotion	Melaglow Prime Lotion by Abbott Healthcare Pvt. Ltd.. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 50GM.	https://www.indianskinstore.com/product/melaglow-prime-lotion	https://indianskinco.github.io/iss-catalog-images/p/22912058.jpg	in_stock	768.00 INR	Abbott Healthcare Pvt. Ltd.	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Body Care
19310121	Moduseb Soap 75GM	Moduseb Soap 75GM by Ceuticoz. Cleansing product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 0.	https://www.indianskinstore.com/product/moduseb-soap-75gm	https://indianskinco.github.io/iss-catalog-images/p/19310121.jpg	in_stock	120.00 INR	Ceuticoz	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Wash	Bodycare > Cleansing
18893562	Moisturex Syndet Bathing Bar 75GM	Moisturex Syndet Bathing Bar 75GM by Sun Pharmaceutical Pvt Ltd. Cleansing product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 75GM.	https://www.indianskinstore.com/product/moisturex-syndet-bathing-bar-75gm	https://indianskinco.github.io/iss-catalog-images/p/18893562.jpg	in_stock	202.00 INR	Sun Pharmaceutical Pvt Ltd	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Wash	Bodycare > Cleansing
18893563	Moisturex Wash 200ml	Moisturex Wash 200ml by Sun Pharmaceutical Pvt Ltd. Cleansing product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 200ML.	https://www.indianskinstore.com/product/moisturex-wash-200ml	https://indianskinco.github.io/iss-catalog-images/p/18893563.jpg	in_stock	601.00 INR	Sun Pharmaceutical Pvt Ltd	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Wash	Bodycare > Cleansing
24342128	Oryza Cera Max	Oryza Cera Max by Alembic Pharmaceuticals Ltd. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 250ML.	https://www.indianskinstore.com/product/oryza-cera-max	https://indianskinco.github.io/iss-catalog-images/p/24342128.jpg	in_stock	825.00 INR	Alembic Pharmaceuticals Ltd	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Body Care
27421409	Pirfesca	Pirfesca by Cipla Ltd. Post-Procedure product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 30GM.	https://www.indianskinstore.com/product/pirfesca	https://indianskinco.github.io/iss-catalog-images/p/27421409.jpg	in_stock	902.34 INR	Cipla Ltd	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Post-Procedure
28885497	Pynomax-tx Creamy Lotion	Pynomax-tx Creamy Lotion by Galcare Pharmaceuticals Pvt Ltd. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 100ML.	https://www.indianskinstore.com/product/pynomax-tx-creamy-lotion	https://indianskinco.github.io/iss-catalog-images/p/28885497.jpg	in_stock	599.00 INR	Galcare Pharmaceuticals Pvt Ltd	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Body Care
29358560	Reelfair D-tan Soap	Reelfair D-tan Soap by Cosmosafe Healthcare Pvt . Cleansing product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 60 GM.	https://www.indianskinstore.com/product/reelfair-d-tan-soap	https://indianskinco.github.io/iss-catalog-images/p/29358560.jpg	in_stock	199.00 INR	Cosmosafe Healthcare Pvt 	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Wash	Bodycare > Cleansing
24342137	Regabpo Spray	Regabpo Spray by Regaliz Medicare Limited. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 60ML.	https://www.indianskinstore.com/product/regabpo-spray	https://indianskinco.github.io/iss-catalog-images/p/24342137.jpg	in_stock	499.00 INR	Regaliz Medicare Limited	new	no	Health & Beauty > Personal Care > Cosmetics > Skin Care	Bodycare > Body Care
